Search Number,Elapsed Time (s)
455,1.009136
456,1.976496
457,1.871436
458,2.235634
459,2.316719
460,2.038041
461,1.582047
462,2.247303
463,1.282763
464,2.749592
465,2.190939
466,1.669145
467,2.194821
468,1.857594
469,2.111367
470,1.971990
471,1.906926
472,1.624441
473,2.934253
474,1.793600
475,1.893044
476,1.940168
477,1.504619
478,2.410324
479,1.929004
480,2.209817
481,2.411933
482,1.453196
483,2.512860
484,2.392470
485,1.436946
486,1.644412
487,2.239897
488,2.338354
489,1.510766
490,1.998223
491,2.393452
492,2.406878
493,2.059154
494,2.027634
495,2.498411
496,1.440668
497,2.604593
498,3.139591
499,2.078395
500,2.727489
501,2.308963
502,1.452097
503,1.108009
504,1.211993
505,2.700009
506,3.067935
507,2.796046
508,2.085608
509,1.856309
510,2.832857
511,2.243186
512,1.601850
513,1.765819
514,1.818021
515,1.550313
516,2.449121
517,2.285689
518,1.908554
519,1.025775
520,2.072012
521,1.465285
522,2.092391
523,1.050438
524,2.209548
525,2.734616
526,2.432230
527,1.959680
528,2.769655
529,1.822411
530,2.021878
531,2.193630
532,1.441872
533,2.451083
534,1.242228
535,2.159395
536,2.057354
537,1.595551
538,2.359556
539,1.675356
540,1.980799
541,2.637855
542,1.779557
543,1.333653
544,2.192183
545,2.648763
546,2.264150
547,1.936341
548,1.501520
549,2.325906
550,1.836060
551,1.668955
552,2.257623
553,1.509400
554,2.040329
555,2.120059
556,1.979403
557,2.088219
558,2.707724
559,2.360035
560,1.468969
561,2.490040
562,1.585590
563,1.771190
564,2.082960
565,1.809623
566,1.931377
567,2.185720
568,2.258594
569,1.702015
570,1.979806
571,1.565165
572,2.783932
573,2.868394
574,1.978640
575,2.045816
576,1.722161
577,1.241431
578,2.079849
579,2.471771
580,2.290884
581,2.789872
582,1.975296
583,2.291941
584,2.039978
585,2.152140
586,3.031272
587,1.826509
588,1.630146
589,2.099788
590,2.453406
591,1.814744
592,1.784245
593,1.462041
594,2.104061
595,1.991504
596,1.980704
597,2.407412
598,2.550372
599,2.000890
600,2.676524
601,2.458847
602,1.429546
603,1.797732
604,1.792578
605,1.963080
606,2.646814
607,3.370958
608,0.735849
609,1.817136
610,1.906994
611,2.010852
612,1.189299
613,1.944636
614,3.182638
615,2.020906
616,1.997463
617,1.455818
618,2.225523
619,2.088846
620,2.335124
621,2.414396
622,2.711520
623,2.807666
624,1.969266
625,2.499696
626,1.512887
627,1.677328
628,1.221841
629,1.407520
630,1.579850
631,1.559524
632,2.328551
633,2.120859
634,2.605387
635,2.165475
636,2.651648
637,1.763684
638,2.972735
639,2.481427
640,1.411161
641,2.337794
642,1.506220
643,3.087158
644,1.504687
645,2.415517
646,1.185146
647,1.622944
648,1.153581
649,2.106001
650,2.033034
651,1.696359
652,1.874341
653,1.943645
654,0.905306
655,1.741438
656,1.738779
657,1.743233
658,1.953127
659,2.353893
660,2.396446
661,1.396158
662,1.881572
663,2.153840
664,2.528389
665,1.263898
666,2.351286
667,2.048815
668,2.529214
669,2.278971
670,2.253230
671,2.216990
672,1.366266
673,1.745896
674,1.745132
675,2.344154
676,1.730819
677,1.640909
678,1.886373
679,1.782382
680,1.873384
681,2.833993
682,3.023586
683,2.094531
684,0.976920
685,2.465921
686,2.242555
687,2.465417
688,0.826129
689,2.093100
690,1.361787
691,1.156608
692,2.342547
693,2.909907
694,2.320353
695,1.659419
696,1.990533
697,2.328546
698,0.461987
699,1.970962
700,2.439089
701,1.969785
702,2.603541
703,2.742901
704,2.208865
705,2.948001
706,1.464062
707,2.407966
708,2.459476
709,2.075368
710,0.858971
711,1.518146
712,2.407819
713,1.931109
714,1.944891
715,1.608308
716,2.799626
717,2.055600
718,2.559740
719,2.643822
720,2.181459
721,1.755629
722,1.411165
723,1.915540
724,1.398655
725,2.506084
726,2.224637
727,1.929172
728,2.601972
729,1.449234
730,2.289393
731,1.632357
732,1.483141
733,2.249890
734,1.216548
735,1.974660
736,2.006261
737,2.493400
738,2.225272
739,2.466631
740,1.928247
741,1.296189
742,2.312542
743,1.714143
744,1.237617
745,2.085462
746,1.698058
747,1.964233
748,2.843477
749,1.817947
750,1.538078
751,2.217709
752,2.462408
753,1.476890
754,2.332822
755,0.723751
756,0.688300
757,1.603575
758,2.111895
759,2.033933
760,1.908739
761,1.430433
762,1.362083
763,1.805078
764,2.120434
765,1.300651
766,1.390586
767,1.999792
768,2.458395
769,1.688598
770,1.858756
771,2.074697
772,2.264779
773,2.380635
774,1.999933
775,2.059064
776,1.969011
777,1.749800
778,2.495094
779,1.687389
780,1.325437
781,1.958032
782,1.918705
783,2.278271
784,1.444314
785,2.065163
786,1.678515
787,2.267812
788,2.626206
789,3.132382
790,1.686876
791,1.612556
792,1.450399
793,2.510420
794,1.844988
795,2.314882
796,1.965085
797,2.595717
798,1.783343
799,0.728169
800,1.570690
801,1.788465
802,2.218529
803,1.777052
804,1.691706
805,2.423305
806,1.899433
807,1.679141
808,1.899563
809,1.475860
810,1.452470
811,2.187175
812,1.409637
813,1.334788
814,3.136368
815,2.563121
816,2.624210
817,1.719169
818,1.572071
819,1.397337
820,2.178303
821,1.720735
822,2.624505
823,2.152907
824,2.743470
825,2.553135
826,0.613352
827,1.433244
828,2.132041
829,1.401220
830,2.007727
831,2.542939
832,2.055804
833,1.971766
834,1.955158
835,2.940000
836,1.432140
837,2.073817
838,1.863189
839,2.172461
840,1.594990
841,1.522628
842,1.801756
843,1.354385
844,1.873338
845,1.644309
846,1.663633
847,2.931829
848,2.387071
849,1.859730
850,2.045714
851,2.279639
852,2.052227
853,2.031149
854,2.636497
855,2.272454
856,2.243437
857,2.736090
858,1.254888
859,1.929649
860,1.493703
861,2.362098
862,2.353212
863,1.686841
864,1.985143
865,0.560602
866,1.821243
867,1.617634
868,1.406367
869,1.657766
870,2.179110
871,2.293321
872,2.322007
873,2.086874
874,2.892230
875,2.467402
876,1.367454
877,1.887611
878,1.983728
879,2.417476
880,2.362476
881,2.098164
882,1.733722
883,2.494250
884,2.227388
885,1.215798
886,1.575237
887,2.376739
888,2.916598
889,1.848449
890,2.313741
891,2.132842
892,2.060658
893,1.559075
894,1.545170
895,2.587979
896,1.705206
897,1.201626
